City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
276,sumenep,-7.0167,113.8667,26.09,87,7,4.29,ID,1717955244
277,sinabang,2.4803,96.3801,25.73,85,84,1.02,ID,1717955244
278,pawai,24.2667,80.1667,37.24,18,36,1.07,IN,1717955244
279,luckau,51.85,13.7167,21.1,54,35,3.12,DE,1717955136
280,cusseta,32.3054,-84.7727,31.92,55,16,3.52,US,1717955044
281,obihiro,42.9172,143.2044,13.82,98,100,1.78,JP,1717955245
282,jinzhou,41.1078,121.1417,20.47,41,15,1.8,CN,1717955245
283,domna,51.8971,113.1573,12.09,87,40,2.0,RU,1717955245
284,canoinhas,-26.1772,-50.39,24.61,50,28,2.2,BR,1717955245
285,rongelap,11.1635,166.8941,28.41,80,77,6.61,MH,1717955245
286,anacapri,40.5558,14.2136,25.98,64,75,1.54,IT,1717955245
287,hasaki,35.7333,140.8333,18.22,77,100,2.77,JP,1717955245
288,labrador city,52.9463,-66.9114,22.95,31,75,3.6,CA,1717955111
289,key largo,25.0865,-80.4473,30.56,62,23,3.58,US,1717955245
290,kalemie,-5.9475,29.1947,21.72,59,27,2.2,CD,1717955245
291,mende,44.6667,3.5,14.28,96,87,2.43,FR,1717955245
292,ouarzazat,30.9189,-6.8934,35.16,7,0,2.57,MA,1717955245
293,mizdah,31.4451,12.9801,36.59,12,13,4.53,LY,1717955245
294,palikir - national government center,6.9248,158.1611,25.41,94,100,5.47,FM,1717955245
295,pasighat,28.0667,95.3333,25.06,93,14,1.96,IN,1717955246
296,itamaraca,-7.7478,-34.8256,29.03,71,14,5.5,BR,1717955246
297,port alfred,-33.5906,26.891,16.21,64,0,2.8,ZA,1717955246
298,sao joao da barra,-21.6403,-41.0511,28.05,70,3,5.12,BR,1717955246
299,alesund,62.4723,6.1549,13.2,87,75,10.29,NO,1717955246
300,miles city,46.4083,-105.8406,19.54,48,100,4.63,US,1717955246
301,shanwei,22.782,115.3475,27.08,86,91,0.51,CN,1717955246
302,cicero dantas,-10.6,-38.3833,28.51,49,8,6.02,BR,1717955246
303,praia da vitoria,38.7333,-27.0667,22.14,68,20,4.52,PT,1717955246
304,rimouski,48.4488,-68.524,11.1,100,100,1.02,CA,1717955210
305,taksimo,56.3444,114.8794,9.19,70,20,0.83,RU,1717955246
306,conceicao da barra,-18.5933,-39.7322,24.73,64,100,2.33,BR,1717955246
307,muncie,40.1934,-85.3864,24.96,46,20,6.69,US,1717955100
308,taguatinga,-12.3857,-46.5711,33.77,23,90,2.94,BR,1717955246
309,port macquarie,-31.4333,152.9167,6.61,78,4,2.28,AU,1717955246
310,kiunga,-6.1219,141.2906,23.56,99,87,1.43,PG,1717955246
311,vigan,17.5747,120.3869,27.71,85,100,2.15,PH,1717955247
312,dapa,9.7594,126.0531,27.62,80,88,1.55,PH,1717955247
313,gilgit,35.9221,74.3087,19.91,46,33,1.58,PK,1717955037
314,zhezqazghan,47.7833,67.7667,23.32,43,40,6.0,KZ,1717955247
315,kone,-21.0595,164.8658,22.19,84,100,1.69,NC,1717955247
316,tyrone,33.4712,-84.5972,32.72,50,65,4.12,US,1717955247
317,mount gambier,-37.8333,140.7667,5.17,91,79,1.95,AU,1717955104
318,dahanu,19.9667,72.7333,29.23,73,97,1.74,IN,1717955247
319,haiku-pauwela,20.9219,-156.3051,25.02,72,0,7.72,US,1717955247
320,ludvika,60.1496,15.1878,9.32,86,100,4.93,SE,1717955247
321,portland,45.5234,-122.6762,22.56,66,75,1.79,US,1717955247
322,chateaudun,48.0833,1.3333,19.08,76,20,5.19,FR,1717955247
323,karmala,18.4167,75.2,23.28,91,100,5.88,IN,1717955247
324,taltal,-25.4,-70.4833,17.61,69,76,1.96,CL,1717955247
325,chamical,-30.36,-66.314,28.55,12,0,5.85,AR,1717955247
326,puerto quijarro,-17.7833,-57.7667,35.57,21,55,4.7,BO,1717955247
327,lucapa,-8.4192,20.7447,22.16,27,31,1.84,AO,1717955247
328,itoman,26.1247,127.6694,24.43,100,75,4.12,JP,1717955248
329,ngaruawahia,-37.6674,175.1555,16.98,90,100,4.02,NZ,1717955248
330,mccook,40.2019,-100.6257,23.03,57,0,5.14,US,1717955248
331,naze,28.3667,129.4833,22.51,87,82,3.14,JP,1717955248
332,port douglas,-16.4833,145.4667,18.06,68,6,2.41,AU,1717955248
333,tamanrasset,22.785,5.5228,36.95,10,40,4.12,DZ,1717955248
334,scarborough,54.2797,-0.4044,13.76,72,95,1.79,GB,1717955132
335,harstad,68.799,16.5293,18.66,59,27,3.13,NO,1717955248
336,talara,-4.5772,-81.2719,24.42,69,0,7.88,PE,1717954995
337,puerto colombia,10.9878,-74.9547,29.05,65,69,2.76,CO,1717955248
338,tercan,39.7794,40.3925,13.63,79,99,1.11,TR,1717955248
339,tenno,39.9,139.9667,17.36,96,100,2.59,JP,1717955248
340,selfoss,63.9331,-20.9971,14.47,53,69,6.01,IS,1717955248
341,lazarevskoye,43.9061,39.3331,20.27,85,98,1.15,RU,1717955209
342,chulakkurgan,43.765,69.1814,27.18,31,97,2.48,KZ,1717955248
343,mantua,45.1667,10.7833,26.58,72,72,2.24,IT,1717955248
